"filename", "language", "JavaScript", "SCSS", "Markdown", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "comment", "blank", "total"
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/newRoomOverlay/NewRoomOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 1, 4, 16
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/roomTeaser/roomTeaser.interface.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/roomTeaser/roomTeaser.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/roomTeaser/roomTeaser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 6, 20, 99
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/sideBar/Sidebar.interface.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/sideBar/Sidebar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/sideBar/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 9, 44
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/toolbar/Toolbar.interface.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/toolbar/Toolbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/toolbar/Toolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 1, 11, 58
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/userPreview/userPreview.interface.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/userPreview/userPreview.module.scss", "SCSS", 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/userPreview/userPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/userTeaser/userTeaser.interface.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/userTeaser/userTeaser.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/userTeaser/userTeaser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"/home/timy/school/diplomarbeit/client/chat-client/context/sessionContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 1, 9, 48
"/home/timy/school/diplomarbeit/client/chat-client/context/socket/SocketContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/timy/school/diplomarbeit/client/chat-client/interfaces/index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 5, 2, 11
"/home/timy/school/diplomarbeit/client/chat-client/next.config.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 4, 34
"/home/timy/school/diplomarbeit/client/chat-client/package.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"/home/timy/school/diplomarbeit/client/chat-client/pages/_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 2, 3, 17
"/home/timy/school/diplomarbeit/client/chat-client/pages/about.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/home/timy/school/diplomarbeit/client/chat-client/pages/api/session.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"/home/timy/school/diplomarbeit/client/chat-client/pages/api/users/index.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/timy/school/diplomarbeit/client/chat-client/pages/chats/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 1, 6, 27
"/home/timy/school/diplomarbeit/client/chat-client/pages/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/home/timy/school/diplomarbeit/client/chat-client/pages/login/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 19, 8, 42
"/home/timy/school/diplomarbeit/client/chat-client/pages/profile/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 1, 7, 24
"/home/timy/school/diplomarbeit/client/chat-client/pages/test/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 24, 7, 48
"/home/timy/school/diplomarbeit/client/chat-client/pages/users/[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 2, 6, 21
"/home/timy/school/diplomarbeit/client/chat-client/pages/users/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 3, 6, 35
"/home/timy/school/diplomarbeit/client/chat-client/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/timy/school/diplomarbeit/client/chat-client/public/assets/plus-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/home/timy/school/diplomarbeit/client/chat-client/public/assets/subtle-prism.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/timy/school/diplomarbeit/client/chat-client/styles/globals.scss", "SCSS", 0, 224, 0, 0, 0, 0, 0, 0, 11, 59, 294
"/home/timy/school/diplomarbeit/client/chat-client/styles/unreset.scss", "SCSS", 0, 225, 0, 0, 0, 0, 0, 0, 11, 56, 292
"/home/timy/school/diplomarbeit/client/chat-client/tailwind.config.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 1, 2, 55
"/home/timy/school/diplomarbeit/client/chat-client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"/home/timy/school/diplomarbeit/client/chat-client/utils/getChatsByUserId.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"/home/timy/school/diplomarbeit/client/chat-client/utils/getUserById.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"/home/timy/school/diplomarbeit/client/chat-client/utils/requireAuth.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 6, 7, 23
"/home/timy/school/diplomarbeit/client/chat-client/utils/sample-data.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 84, 525, 29, 206, 37, 30, 1124, 176, 153, 500, 2864
